nama_lengkap,age,experience,last_education,status,total_ability,nilai_online,nilai_f2f,nilai_sikap,status_passed
Vernia,24,0,pasca,lajang,9,71,77,baik,gagal
Layne,21,2,pasca,menikah,8,98,95,baik,gagal
Neomi,32,0,akademi,lajang,7,74,100,cukup baik,lulus
Hannah,28,0,sma,lajang,6,77,74,baik,gagal
Emeline,39,8,pasca,menikah,9,78,82,baik,gagal
Luciana,45,2,sarjana,lajang,10,91,97,cukup baik,lulus
Tommye,35,8,sarjana,menikah,9,88,80,sangat baik,lulus
Marshall,47,0,pasca,lajang,8,84,86,sangat baik,gagal
Dora,25,1,pasca,menikah,6,80,85,baik,gagal
Herta,29,0,sarjana,lajang,5,84,78,sangat baik,lulus
Caridad,20,9,akademi,menikah,6,96,77,cukup baik,lulus
Veronika,38,0,sma,lajang,8,77,97,sangat baik,gagal
Catrice,25,2,sma,menikah,5,95,72,sangat baik,gagal
Star,20,3,akademi,menikah,8,79,91,sangat baik,gagal
Elinor,32,2,sma,lajang,6,72,99,cukup baik,gagal
Sandee,22,0,pasca,menikah,8,80,90,sangat baik,lulus
Maryjane,24,1,sma,lajang,8,99,92,sangat baik,lulus
Franklin,46,2,sma,lajang,8,76,89,cukup baik,gagal
Masako,29,7,pasca,lajang,6,74,77,baik,lulus
Albertha,27,7,sma,lajang,9,85,81,cukup baik,lulus
